Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,195.779999,198.529999,193.550003,198.440002,196.537018,26701600
2020-06-30,197.880005,204.399994,197.740005,203.509995,201.558395,34310300
2020-07-01,203.139999,206.350006,201.770004,204.699997,202.736984,32061200
2020-07-02,205.679993,208.020004,205.000000,206.259995,204.282013,29315800
2020-07-06,208.830002,211.130005,208.089996,210.699997,208.679443,31897600
2020-07-07,210.449997,214.669998,207.990005,208.250000,206.252930,33600700
2020-07-08,210.070007,213.259995,208.690002,212.830002,210.789032,33600000
2020-07-09,216.330002,216.380005,211.470001,214.320007,212.264740,33121700
2020-07-10,213.619995,214.080002,211.080002,213.669998,211.620972,26177600
2020-07-13,214.479996,215.800003,206.500000,207.070007,205.084259,38135600
2020-07-14,206.130005,208.850006,202.029999,208.350006,206.351974,37591800
2020-07-15,209.559998,211.330002,205.029999,208.039993,206.044937,32179400
2020-07-16,205.399994,205.699997,202.309998,203.919998,201.964462,29940700
2020-07-17,204.470001,205.039993,201.389999,202.880005,200.934448,31635300
2020-07-20,205.000000,212.300003,203.009995,211.600006,209.570831,36884800
2020-07-21,213.660004,213.940002,208.029999,208.750000,206.748154,37990400
2020-07-22,209.199997,212.300003,208.389999,211.750000,209.719360,49605700
2020-07-23,207.190002,210.919998,202.149994,202.539993,200.597687,67457000
2020-07-24,200.419998,202.860001,197.509995,201.300003,199.369598,39827000
2020-07-27,201.470001,203.970001,200.860001,203.850006,201.895142,30160900
2020-07-28,203.610001,204.699997,201.740005,202.020004,200.082703,23251400
2020-07-29,202.500000,204.649994,202.009995,204.059998,202.103119,19632600
2020-07-30,201.000000,204.460007,199.570007,203.899994,201.944656,25079600
2020-07-31,204.399994,205.100006,199.009995,205.009995,203.044006,51044000
2020-08-03,211.520004,217.639999,210.440002,216.539993,214.463440,78983000
2020-08-04,214.169998,214.770004,210.309998,213.289993,211.244598,49280100
2020-08-05,214.899994,215.000000,211.570007,212.940002,210.897964,28806400
2020-08-06,212.339996,216.369995,211.550003,216.350006,214.275269,32656800
2020-08-07,214.850006,215.699997,210.929993,212.479996,210.442368,27820400
2020-08-10,211.669998,211.880005,206.350006,208.250000,206.252930,36716500
2020-08-11,207.160004,207.649994,203.139999,203.380005,201.429657,36446500
2020-08-12,205.289993,210.279999,204.750000,209.190002,207.183945,28013100
2020-08-13,209.440002,211.350006,208.149994,208.699997,206.698624,22588900
2020-08-14,208.759995,209.589996,207.509995,208.899994,206.896698,17958900
2020-08-17,209.600006,211.190002,208.919998,210.279999,208.263489,20184800
2020-08-18,210.529999,212.360001,209.210007,211.490005,209.461884,21336200
2020-08-19,211.490005,212.100006,209.250000,209.699997,208.191086,27627600
2020-08-20,209.539993,215.000000,208.910004,214.580002,213.035965,26981500
2020-08-21,213.860001,216.250000,212.850006,213.020004,211.487198,36249300
2020-08-24,214.789993,215.520004,212.429993,213.690002,212.152374,25460100
2020-08-25,213.100006,216.610001,213.100006,216.470001,214.912384,23043700
2020-08-26,217.880005,222.089996,217.360001,221.149994,219.558701,39600800
2020-08-27,222.889999,231.149994,219.399994,226.580002,224.949631,57602200
2020-08-28,228.179993,230.639999,226.580002,228.910004,227.262863,26292900
2020-08-31,227.000000,228.699997,224.309998,225.529999,223.907166,28774200
2020-09-01,225.509995,227.449997,224.429993,227.270004,225.634674,25725500
2020-09-02,227.970001,232.860001,227.350006,231.649994,229.983139,34080800
2020-09-03,229.270004,229.309998,214.960007,217.300003,215.736420,58400300
2020-09-04,215.100006,218.360001,205.190002,214.250000,212.708359,59664100
2020-09-08,206.500000,210.029999,202.199997,202.660004,201.201736,52924300
2020-09-09,207.600006,214.839996,206.699997,211.289993,209.769638,45679000
2020-09-10,213.399994,214.740005,204.110001,205.369995,203.892227,35461500
2020-09-11,207.199997,208.630005,201.240005,204.029999,202.561890,33620100
2020-09-14,204.240005,209.199997,204.029999,205.410004,203.931946,30375800
2020-09-15,208.419998,209.779999,206.929993,208.779999,207.277710,21823900
2020-09-16,210.619995,210.649994,204.639999,205.050003,203.574539,26328100
2020-09-17,200.050003,204.330002,199.960007,202.910004,201.449951,34011300
2020-09-18,202.800003,203.649994,196.250000,200.389999,198.948074,55225300
2020-09-21,197.190002,202.710007,196.380005,202.539993,201.082596,39839700
2020-09-22,205.059998,208.100006,202.080002,207.419998,205.927475,33517100
2020-09-23,207.899994,208.100006,200.029999,200.589996,199.146637,30803800
2020-09-24,199.850006,205.570007,199.199997,203.190002,201.727921,31202500
2020-09-25,203.550003,209.039993,202.539993,207.820007,206.324615,29437300
2020-09-28,210.880005,212.570007,208.059998,209.440002,207.932953,32004900
2020-09-29,209.350006,210.070007,206.809998,207.259995,205.768631,24221900
2020-09-30,207.729996,211.979996,206.539993,210.330002,208.816544,33829100
2020-10-01,213.490005,213.990005,211.320007,212.460007,210.931229,27158400
2020-10-02,208.000000,210.990005,205.539993,206.190002,204.706360,33154800
2020-10-05,207.220001,210.410004,206.979996,210.380005,208.866211,21331600
2020-10-06,208.820007,210.179993,204.820007,205.910004,204.428360,28554300
2020-10-07,207.059998,210.110001,206.720001,209.830002,208.320145,25681100
2020-10-08,210.509995,211.190002,208.320007,210.580002,209.064774,19925800
2020-10-09,211.229996,215.860001,211.229996,215.809998,214.257126,26458000
2020-10-12,218.789993,223.860001,216.809998,221.399994,219.806885,40461400
